predictions,targets
1.380276093750000000e+05,1.256828671875000000e+05
2.011602050781250000e+03,4.005129394531250000e+03
0.000000000000000000e+00,4.989809676558820684e-10
6.385924609375000000e+04,2.231818359375000000e+04
1.322411230468750000e+04,2.678238085937500000e+04
6.727314843750000000e+04,6.084138671875000000e+04
1.921430000000000000e+05,1.339460625000000000e+06
0.000000000000000000e+00,1.485155517002567649e-04
6.210513671875000000e+03,4.124033508300781250e+02
2.154976367187500000e+04,3.233536328125000000e+04
8.214000854492187500e+02,2.285382324218750000e+03
0.000000000000000000e+00,1.244410564177345080e-11
0.000000000000000000e+00,7.043789995719862418e-10
1.639520883560180664e+00,1.440797805786132812e+00
1.915055468750000000e+04,7.908983125000000000e+05
6.988193359375000000e+03,5.328164062500000000e+03
5.854514648437500000e+03,3.861951660156250000e+03
1.432359252929687500e+03,1.615253173828125000e+03
0.000000000000000000e+00,7.212336640805006027e-05
9.807327148437500000e+03,1.426914257812500000e+04
3.653001708984375000e+02,4.319648925781250000e+03
1.094471557617187500e+03,1.459710693359375000e+02
1.025469062500000000e+05,2.155783593750000000e+04
8.158233642578125000e+02,5.862508544921875000e+02
0.000000000000000000e+00,5.085647353553213179e-05
6.858760833740234375e+01,5.672589778900146484e+00
7.280248535156250000e+03,1.360961523437500000e+04
1.834471923828125000e+03,1.932883644104003906e+01
3.470350341796875000e+03,3.758888671875000000e+03
1.447471313476562500e+02,1.497893188476562500e+03
3.173477172851562500e+00,2.840514183044433594e+00
0.000000000000000000e+00,2.572304765635635704e-05
1.652837304687500000e+04,1.743540820312500000e+04
7.673513671875000000e+03,2.668514404296875000e+03
1.402026269531250000e+04,1.088097421875000000e+05
1.428391723632812500e+03,1.759369812011718750e+02
6.039662475585937500e+02,4.764559570312500000e+03
1.459567382812500000e+03,1.427543212890625000e+03
2.633772216796875000e+03,6.764895629882812500e+02
1.655103906250000000e+04,3.419340625000000000e+04
0.000000000000000000e+00,9.874714978000409538e-13
3.070254638671875000e+03,2.961204101562500000e+03
1.286781835937500000e+04,9.159833007812500000e+03
1.027045898437500000e+03,7.474684448242187500e+02
0.000000000000000000e+00,6.498475093394517899e-03
1.274590234375000000e+05,1.682010937500000000e+05
1.399381718750000000e+05,1.094946796875000000e+05
0.000000000000000000e+00,1.574393556063452548e-13
0.000000000000000000e+00,1.485889971787200843e-15
0.000000000000000000e+00,2.623491868192218135e-09
5.316147265625000000e+04,5.429474609375000000e+04
1.247030371093750000e+04,6.957817871093750000e+03
8.702008789062500000e+03,6.043201562500000000e+04
4.026537322998046875e+01,3.818328094482421875e+01
8.626560668945312500e+02,2.207281738281250000e+03
1.442735595703125000e+02,1.405415039062500000e+02
1.186830312500000000e+05,1.000674296875000000e+05
9.215973437500000000e+04,6.721663281250000000e+04
5.206451416015625000e+00,5.487063217163085938e+01
1.692271423339843750e+01,2.265005035400390625e+02
1.003437968750000000e+05,2.324882500000000000e+05
1.470374298095703125e+02,9.918579101562500000e+01
4.774315917968750000e+03,3.679646972656250000e+03
4.106336914062500000e+03,4.363699218750000000e+03
1.385697387695312500e+03,2.142960662841796875e+02
0.000000000000000000e+00,5.703709948789992268e-09
7.143580078125000000e+03,8.129033691406250000e+03
0.000000000000000000e+00,1.682991161942481995e-03
0.000000000000000000e+00,1.437009334564208984e+01
0.000000000000000000e+00,1.286739048644847117e-10
3.125715087890625000e+03,8.217971191406250000e+02
5.814889526367187500e+02,2.780803298950195312e+01
3.434529375000000000e+05,1.244736171875000000e+05
2.430553222656250000e+03,3.349410400390625000e+03
2.676222265625000000e+04,1.067336328125000000e+04
3.533052062988281250e+01,1.668535614013671875e+01
0.000000000000000000e+00,1.789846493238655967e-08
2.419539062500000000e+03,2.060351562500000000e+03
0.000000000000000000e+00,8.126801844809961040e-07
0.000000000000000000e+00,8.429936997345066629e-07
0.000000000000000000e+00,5.093817776469222736e-07
1.285133984375000000e+05,2.100889687500000000e+05
0.000000000000000000e+00,2.220157693955115974e-05
0.000000000000000000e+00,6.523015599668724462e-06
1.172682250976562500e+03,8.011094970703125000e+02
0.000000000000000000e+00,3.714700047875176513e-16
1.224408447265625000e+03,8.828401947021484375e+01
1.048418090820312500e+03,1.073266235351562500e+03
4.601765937500000000e+05,3.993492812500000000e+05
5.148363281250000000e+03,4.012593505859375000e+03
8.885953979492187500e+02,1.896159179687500000e+03
1.181823730468750000e+03,1.103421875000000000e+03
