predictions,targets
0.000000000000000000e+00,1.256828755140304565e-01
0.000000000000000000e+00,4.005129449069499969e-03
0.000000000000000000e+00,4.989809682386407361e-16
0.000000000000000000e+00,2.231818437576293945e-02
0.000000000000000000e+00,2.678238041698932648e-02
0.000000000000000000e+00,6.084138900041580200e-02
0.000000000000000000e+00,1.339460730552673340e+00
0.000000000000000000e+00,1.485155470826171609e-10
0.000000000000000000e+00,4.124033439438790083e-04
0.000000000000000000e+00,3.233536332845687866e-02
0.000000000000000000e+00,2.285382477566599846e-03
0.000000000000000000e+00,1.244410596242836089e-17
0.000000000000000000e+00,7.043789934699608898e-16
0.000000000000000000e+00,1.440797859686426818e-06
0.000000000000000000e+00,7.908983230590820312e-01
0.000000000000000000e+00,5.328163970261812210e-03
0.000000000000000000e+00,3.861951641738414764e-03
0.000000000000000000e+00,1.615253160707652569e-03
0.000000000000000000e+00,7.212336977646671698e-11
0.000000000000000000e+00,1.426914241164922714e-02
0.000000000000000000e+00,4.319649189710617065e-03
9.003489613533020020e-01,1.459710620110854506e-04
0.000000000000000000e+00,2.155783586204051971e-02
0.000000000000000000e+00,5.862508551217615604e-04
0.000000000000000000e+00,5.085647181157781915e-11
0.000000000000000000e+00,5.672589850291842595e-06
0.000000000000000000e+00,1.360961515456438065e-02
0.000000000000000000e+00,1.932883606059476733e-05
0.000000000000000000e+00,3.758888691663742065e-03
0.000000000000000000e+00,1.497893244959414005e-03
0.000000000000000000e+00,2.840514071067445911e-06
0.000000000000000000e+00,2.572304869108421599e-11
0.000000000000000000e+00,1.743540912866592407e-02
0.000000000000000000e+00,2.668514382094144821e-03
0.000000000000000000e+00,1.088097468018531799e-01
0.000000000000000000e+00,1.759369770297780633e-04
0.000000000000000000e+00,4.764559678733348846e-03
0.000000000000000000e+00,1.427543233148753643e-03
0.000000000000000000e+00,6.764895515516400337e-04
0.000000000000000000e+00,3.419340774416923523e-02
0.000000000000000000e+00,9.874714648584002395e-19
0.000000000000000000e+00,2.961204154416918755e-03
0.000000000000000000e+00,9.159832261502742767e-03
0.000000000000000000e+00,7.474684389308094978e-04
0.000000000000000000e+00,6.498475091376576529e-09
0.000000000000000000e+00,1.682011038064956665e-01
0.000000000000000000e+00,1.094946786761283875e-01
0.000000000000000000e+00,1.574393539387491399e-19
0.000000000000000000e+00,1.485890020216040769e-21
0.000000000000000000e+00,2.623491854124694947e-15
0.000000000000000000e+00,5.429474636912345886e-02
0.000000000000000000e+00,6.957817822694778442e-03
0.000000000000000000e+00,6.043201312422752380e-02
0.000000000000000000e+00,3.818328332272358239e-05
0.000000000000000000e+00,2.207281766459345818e-03
0.000000000000000000e+00,1.405415096087381244e-04
0.000000000000000000e+00,1.000674292445182800e-01
0.000000000000000000e+00,6.721663475036621094e-02
0.000000000000000000e+00,5.487063026521354914e-05
0.000000000000000000e+00,2.265005023218691349e-04
0.000000000000000000e+00,2.324882447719573975e-01
0.000000000000000000e+00,9.918578871292993426e-05
0.000000000000000000e+00,3.679646877571940422e-03
0.000000000000000000e+00,4.363699350506067276e-03
0.000000000000000000e+00,2.142960729543119669e-04
0.000000000000000000e+00,5.703710226156013044e-15
0.000000000000000000e+00,8.129033260047435760e-03
0.000000000000000000e+00,1.682991190854465913e-09
0.000000000000000000e+00,1.437009359506191686e-05
0.000000000000000000e+00,1.286739132179236375e-16
